,DATE,TRADE DETAILS,TRADE DETAILS.18,Team_x,receivedx,Team_y,receivedy
0,"Feb. 24, 2020","Carolina Hurricanes Acquire:Brady Skjei · $5,250,000$5,250,000$5,400,000Sum: $5,250,000$5,250,000$5,400,000Change: +$5,250,000Change: +$5,250,000Change: +$5,400,000","New York Rangers Acquire:2020 1st round pick (CAR - #22 - Hendrix Lapierre) [Conditional]**Conditions: NY Rangers will receive the later (or lower) of either the Carolina or Toronto 2020 1st round picks Result: Rangers will receive Carolina's 2020 1st round pick.Sum: $0$0$0Change: -$5,250,000Change: -$5,250,000Change: $0",Carolina Hurricanes ,Brady Skjei,New York Rangers ,2020 1st round pick (CAR - #22 - Hendrix Lapierre) [Conditional]**Conditions: NY Rangers will receive the later (or lower) of either the Carolina or Toronto 2020 1st round picks Result: Rangers will receive Carolina's 2020 1st round pick.
1,"Feb. 24, 2020","Anaheim Ducks Acquire:Joel Persson · $0$1,000,000$1,000,000 (AHL/JR)Sum: $0$1,000,000$1,000,000Change: $0Change: +$157,500Change: +$1,000,000","Edmonton Oilers Acquire:Angus Redmond · $0$842,500$70,000 (AHL/JR)2022 7th round pick (ANA - #203 - James Fisher) [Conditional]**Conditions: Edmonton receives the 2022 7th round pick if Joel Persson plays 25 games in the NHL in the 2020-21 season (prorated to 17 games due to the shortened season). Result: Condition not met, Anaheim retains the 7th round pick Sum: $0$842,500$70,000Change: $0Change: -$157,500Change: +$70,000",Anaheim Ducks ,Joel Persson,Edmonton Oilers ,Angus Redmond
2,"Feb. 24, 2020","Chicago Blackhawks Acquire:From VGK:Malcolm Subban · $850,000$850,000$850,000Stanislav Demin · $0$0$0 (AHL/JR) (Signing Rights)2020 2nd round pick (PIT - #46 - Drew Commesso)Sum: $850,000$850,000$850,000Change: -$1,650,000Change: -$1,650,000Change: -$1,650,000","Toronto Maple Leafs Acquire:From CHI:Robin Lehner ($2,500,000 retained - 50%) · $2,500,000$2,500,000$2,500,000From VGK:2020 5th round pick (VGK - #153 - Kasper Puutio)Sum: $2,500,000$2,500,000$0Change: +$1,100,000Change: +$1,100,000Change: -$1,100,000",Chicago Blackhawks ,From VGK:Malcolm Subban,Toronto Maple Leafs ,"From CHI:Robin Lehner ($2,500,000 retained - 50%)"
3,"Feb. 24, 2020","New York Islanders Acquire:Jordan Schmaltz · $0$700,000$700,000 (AHL/JR)Sum: $0$700,000$700,000Change: $0Change: +$25,000Change: +$700,000","Toronto Maple Leafs Acquire:Matt Lorito · $0$675,000$700,000 (AHL/JR)Sum: $0$675,000$700,000Change: $0Change: -$25,000Change: +$700,000",New York Islanders ,Jordan Schmaltz,Toronto Maple Leafs ,Matt Lorito
4,"Feb. 24, 2020","Carolina Hurricanes Acquire:Sami Vatanen ($2,437,500 retained - 50%) · $2,437,500$2,437,500$0Sum: $2,437,500$2,437,500$0Change: +$2,437,500Change: +$925,834Change: -$220,500,000","New Jersey Devils Acquire:Fredrik Claesson · $0$700,000$100,000 (AHL/JR)Janne Kuokkanen · $0$811,666$70,000 (AHL/JR)2020 3rd round pick (CAR - #84 - Nico Daws) [Conditional]**Conditions: New Jersey receives a 2020 4th round pick if Vatanen plays in 5 regular-season games this season. The pick upgrades to a 2020 3rd round pick if Vatanen plays in 12 regular-season games this season, or if Carolina makes the playoffs and he plays in 70% of their playoff games. Updated conditions (The NHL revised the conditions due to the 2020 COVID shortened season), the conditions are now as follows: NJD receives: a) 2020 3rd round pick if: 1. CAR beats NYR in the 2020 play-in 2. Vatanen plays in 70% or more of CAR’s playoff games (excluding play-in games) b) 2020 4th round pick if: 1. CAR beats NYR in the 2020 play-in 2. Vatanen plays in at least 2 games against NYR 3. Vatanen plays in less than 70% of CAR’s playoff games c) No pick if: 1. CAR beats NYR in the 2020 play-in 2. Vatanen plays in less than 2 games against NYR 3. Vatanen plays in less than 70% of CAR's playoff games d) 2020 or 2021 4th round pick if: 1. CAR loses to NYR in the 2020 play-in 2. Vatanen plays in at least 2 games against NYR e) No pick if: 1. CAR loses to NYR in the 2020 play-in 2. Vatanen plays in less than 2 games against NYR Result: New Jersey receives a 2020 3rd round pick. Sum: $0$1,511,666$170,000Change: -$2,437,500Change: -$925,834Change: +$170,000",Carolina Hurricanes ,"Sami Vatanen ($2,437,500 retained - 50%)",New Jersey Devils ,Fredrik Claesson
5,"Feb. 24, 2020","Calgary Flames Acquire:Future ConsiderationsSum: $0$0$0Change: -$700,000Change: -$700,000Change: $0","San Jose Sharks Acquire:Brandon Davidson · $700,000$700,000$700,000Sum: $700,000$700,000$700,000Change: +$700,000Change: +$700,000Change: +$700,000",Calgary Flames ,Future Considerations,San Jose Sharks ,Brandon Davidson
6,"Feb. 24, 2020","Calgary Flames Acquire:Erik Gustafsson · $1,200,000$1,200,000$1,400,000Sum: $1,200,000$1,200,000$1,400,000Change: +$1,200,000Change: +$1,200,000Change: +$1,400,000","Chicago Blackhawks Acquire:2020 3rd round pick (CGY - #81 - Wyatt Kaiser) [Conditional]**Conditions: Chicago will receive the higher (or better) of the Calgary or Edmonton 2020 3rd round pick (on the requirement that Edmonton's pick meets its conditions and becomes the property of Calgary. The Edmonton pick is a conditional pick that Calgary does not yet own) Result: Chicago will receive Calgary's 2020 3rd round pick.Sum: $0$0$0Change: -$1,200,000Change: -$1,200,000Change: $0",Calgary Flames ,Erik Gustafsson,Chicago Blackhawks ,2020 3rd round pick (CGY - #81 - Wyatt Kaiser) [Conditional]**Conditions: Chicago will receive the higher (or better) of the Calgary or Edmonton 2020 3rd round pick (on the requirement that Edmonton's pick meets its conditions and becomes the property of Calgary. The Edmonton pick is a conditional pick that Calgary does not yet own) Result: Chicago will receive Calgary's 2020 3rd round pick.
7,"Feb. 24, 2020","San Jose Sharks Acquire:Anthony Greco · $0$700,000$200,000 (AHL/JR)2020 1st round pick (TBL - #31 - Ozzy Wiesblatt)Sum: $0$700,000$200,000Change: -$925,000Change: -$225,000Change: +$200,000","Tampa Bay Lightning Acquire:Barclay Goodrow · $925,000$925,000$1,000,0002020 3rd round pick (PHI - #85 - Maxim Groshev)Sum: $925,000$925,000$1,000,000Change: +$925,000Change: +$225,000Change: +$1,000,000",San Jose Sharks ,Anthony Greco,Tampa Bay Lightning ,Barclay Goodrow
8,"Feb. 24, 2020","Anaheim Ducks Acquire:Sonny Milano · $874,125$874,125$874,125Sum: $874,125$874,125$874,125Change: -$666,875Change: -$666,875Change: -$733,875","Columbus Blue Jackets Acquire:Devin Shore ($759,000 retained - 33%) · $1,541,000$1,541,000$1,608,000Sum: $1,541,000$1,541,000$1,608,000Change: +$666,875Change: +$666,875Change: +$733,875",Anaheim Ducks ,Sonny Milano,Columbus Blue Jackets ,"Devin Shore ($759,000 retained - 33%)"
9,"Feb. 24, 2020","Calgary Flames Acquire:Derek Forbort ($631,250 retained - 25%) · $1,893,750$1,893,750$0Sum: $1,893,750$1,893,750$0Change: +$1,893,750Change: +$1,893,750Change: -$67,200,000","Los Angeles Kings Acquire:2021 4th round pick (CGY - #109 - Jackson Blake) [Conditional]**Conditions: The 2021 4th round pick upgrades to a 2022 3rd round pick if Calgary reaches the 2020 Conference Finals and Forbort plays in 50% of those games, or if Forbort re-signs with Calgary. Result: LA Kings will receive the 2021 4th round pick.Sum: $0$0$0Change: -$1,893,750Change: -$1,893,750Change: $0",Calgary Flames ,"Derek Forbort ($631,250 retained - 25%)",Los Angeles Kings ,"2021 4th round pick (CGY - #109 - Jackson Blake) [Conditional]**Conditions: The 2021 4th round pick upgrades to a 2022 3rd round pick if Calgary reaches the 2020 Conference Finals and Forbort plays in 50% of those games, or if Forbort re-signs with Calgary. Result: LA Kings will receive the 2021 4th round pick."
10,"Feb. 24, 2020","Anaheim Ducks Acquire:Matt Irwin · $675,000$675,000$700,0002022 6th round pick (NSH - #178 - Vyacheslav Buteyets)Sum: $675,000$675,000$700,000Change: -$175,000Change: -$175,000Change: +$700,000","Nashville Predators Acquire:Korbinian Holzer · $850,000$850,000$850,000Sum: $850,000$850,000$850,000Change: +$175,000Change: +$175,000Change: +$850,000",Anaheim Ducks ,Matt Irwin,Nashville Predators ,Korbinian Holzer
11,"Feb. 24, 2020","Anaheim Ducks Acquire:Christian Djoos · $175,000$1,250,000$1,250,000 (AHL/JR)Sum: $175,000$1,250,000$1,250,000Change: +$175,000Change: +$500,000Change: +$1,250,000","Washington Capitals Acquire:Daniel Sprong · $0$750,000$750,000 (AHL/JR)Sum: $0$750,000$750,000Change: -$175,000Change: -$500,000Change: +$750,000",Anaheim Ducks ,Christian Djoos,Washington Capitals ,Daniel Sprong
12,"Feb. 24, 2020","Arizona Coyotes Acquire:Markus Hännikäinen · $0$750,000$750,000 (AHL/JR)Sum: $0$750,000$750,000Change: $0Change: +$750,000Change: +$750,000","Columbus Blue Jackets Acquire:2020 7th round pick (ARI - #204 - Ben McCartney) [Conditional]**Conditions: Columbus receives the pick if Hännikäinen plays in 10 regular-season games for Arizona this season. Result: Condition not met. No pick is transferred. Sum: $0$0$0Change: $0Change: -$750,000Change: $0",Arizona Coyotes ,Markus Hännikäinen,Columbus Blue Jackets ,2020 7th round pick (ARI - #204 - Ben McCartney) [Conditional]**Conditions: Columbus receives the pick if Hännikäinen plays in 10 regular-season games for Arizona this season. Result: Condition not met. No pick is transferred. 
13,"Feb. 24, 2020","Montreal Canadiens Acquire:2021 4th round pick (VGK - #126 - Dylan Duke)Sum: $0$0$0Change: -$1,000,000Change: -$1,000,000Change: $0","Vegas Golden Knights Acquire:Nick Cousins · $1,000,000$1,000,000$1,000,000Sum: $1,000,000$1,000,000$1,000,000Change: +$1,000,000Change: +$1,000,000Change: +$1,000,000",Montreal Canadiens ,2021 4th round pick (VGK - #126 - Dylan Duke),Vegas Golden Knights ,Nick Cousins
14,"Feb. 24, 2020","Chicago Blackhawks Acquire:T.J. Brennan · $0$675,000$450,000 (AHL/JR)Sum: $0$675,000$450,000Change: $0Change: -$100,833Change: +$450,000","Philadelphia Flyers Acquire:Nathan Noel · $0$775,833$70,000 (AHL/JR)Sum: $0$775,833$70,000Change: $0Change: +$100,833Change: +$70,000",Chicago Blackhawks ,T.J. Brennan,Philadelphia Flyers ,Nathan Noel
15,"Feb. 24, 2020","New Jersey Devils Acquire:Zane McIntyre · $0$700,000$400,000 (AHL/JR)Sum: $0$700,000$400,000Change: -$75,000Change: -$450,000Change: +$400,000","Vancouver Canucks Acquire:Louis Domingue · $75,000$1,150,000$1,150,000 (AHL/JR)Sum: $75,000$1,150,000$1,150,000Change: +$75,000Change: +$450,000Change: +$1,150,000",New Jersey Devils ,Zane McIntyre,Vancouver Canucks ,Louis Domingue
16,"Feb. 24, 2020","Dallas Stars Acquire:2020 6th round pick (BUF - #162 - Yauheni Aksiantsiuk)Sum: $0$0$0Change: $0Change: -$925,000Change: $0","Florida Panthers Acquire:Emil Djuse · $0$925,000$70,000 (AHL/JR)Sum: $0$925,000$70,000Change: $0Change: +$925,000Change: +$70,000",Dallas Stars ,2020 6th round pick (BUF - #162 - Yauheni Aksiantsiuk),Florida Panthers ,Emil Djuse
17,"Feb. 24, 2020","Buffalo Sabres Acquire:Dominik Kahun · $925,000$925,000$925,000Sum: $925,000$925,000$925,000Change: -$4,075,000Change: -$4,075,000Change: +$925,000","Pittsburgh Penguins Acquire:Evan Rodrigues · $2,000,000$2,000,000$2,000,000Conor Sheary · $3,000,000$3,000,000$3,000,000Sum: $5,000,000$5,000,000$5,000,000Change: +$4,075,000Change: +$4,075,000Change: +$5,000,000",Buffalo Sabres ,Dominik Kahun,Pittsburgh Penguins ,Evan Rodrigues
18,"Feb. 24, 2020","Edmonton Oilers Acquire:Tyler Ennis · $800,000$800,000$800,000Sum: $800,000$800,000$800,000Change: +$800,000Change: +$800,000Change: +$800,000","Ottawa Senators Acquire:2021 5th round pick (EDM - #148 - Gage Alexander)Sum: $0$0$0Change: -$800,000Change: -$800,000Change: $0",Edmonton Oilers ,Tyler Ennis,Ottawa Senators ,2021 5th round pick (EDM - #148 - Gage Alexander)
19,"Feb. 24, 2020","Detroit Red Wings Acquire:Sam Gagner ($315,000 retained - 10%) · $2,835,000$2,835,000$2,880,0002020 2nd round pick (EDM - #45 - Brock Faber)2021 2nd round pick (EDM - #52 - Aatu Räty)Sum: $2,835,000$2,835,000$2,880,000Change: -$165,000Change: -$1,090,000Change: -$190,000","Edmonton Oilers Acquire:Andreas Athanasiou · $3,000,000$3,000,000$3,000,000Ryan Kuffner · $0$925,000$70,000 (AHL/JR)Sum: $3,000,000$3,925,000$3,070,000Change: +$165,000Change: +$1,090,000Change: +$190,000",Detroit Red Wings ,"Sam Gagner ($315,000 retained - 10%)",Edmonton Oilers ,Andreas Athanasiou
20,"Feb. 24, 2020","Anaheim Ducks Acquire:Danton Heinen · $2,800,000$2,800,000$2,825,000Sum: $2,800,000$2,800,000$2,825,000Change: +$1,301,075Change: +$1,301,075Change: +$2,825,000","Boston Bruins Acquire:Nick Ritchie · $1,498,925$1,498,925$1,400,000Sum: $1,498,925$1,498,925$1,400,000Change: -$1,301,075Change: -$1,301,075Change: +$1,400,000",Anaheim Ducks ,Danton Heinen,Boston Bruins ,Nick Ritchie
21,"Feb. 24, 2020","Montreal Canadiens Acquire:Aaron Luchuk · $0$759,166$70,000 (AHL/JR)2020 7th round pick (OTT - #188 - Louis Crevier)Sum: $0$759,166$70,000Change: -$225,000Change: -$540,834Change: +$70,000","Ottawa Senators Acquire:Matthew Peca · $225,000$1,300,000$1,300,000 (AHL/JR)Sum: $225,000$1,300,000$1,300,000Change: +$225,000Change: +$540,834Change: +$1,300,000",Montreal Canadiens ,Aaron Luchuk,Ottawa Senators ,Matthew Peca
22,"Feb. 24, 2020","Anaheim Ducks Acquire:Kyle Criscuolo · $0$700,000$200,000 (AHL/JR)2020 4th round pick (NSH - #104 - Thimo Nickl) [Conditional]**Conditions: Anaheim will receive the higher (or better) of either the Philadelphia or Nashville 2020 4th round pick that the Flyers currently own. Result: Anaheim will receive Nashville's 2020 4th round pick.Sum: $0$700,000$200,000Change: -$700,000Change: $0Change: +$200,000","Philadelphia Flyers Acquire:Derek Grant · $700,000$700,000$700,000Sum: $700,000$700,000$700,000Change: +$700,000Change: $0Change: +$700,000",Anaheim Ducks ,Kyle Criscuolo,Philadelphia Flyers ,Derek Grant
23,"Feb. 24, 2020","Buffalo Sabres Acquire:Wayne Simmonds ($2,500,000 retained - 50%) · $2,500,000$2,500,000$0Sum: $2,500,000$2,500,000$0Change: +$2,500,000Change: +$2,500,000Change: -$245,000,000","New Jersey Devils Acquire:2021 5th round pick (BUF - #129 - Topias Vilén) [Conditional]**Conditions: If Simmonds plays in 10 regular-season games this season, and Buffalo qualifies for the 2020 playoffs, the selection upgrades to a 2021 4th round pick. Result: Condition not met. New Jersey receives the 2021 5th round pick.Sum: $0$0$0Change: -$2,500,000Change: -$2,500,000Change: $0",Buffalo Sabres ,"Wayne Simmonds ($2,500,000 retained - 50%)",New Jersey Devils ,"2021 5th round pick (BUF - #129 - Topias Vilén) [Conditional]**Conditions: If Simmonds plays in 10 regular-season games this season, and Buffalo qualifies for the 2020 playoffs, the selection upgrades to a 2021 4th round pick. Result: Condition not met. New Jersey receives the 2021 5th round pick."
24,"Feb. 24, 2020","Pittsburgh Penguins Acquire:Patrick Marleau · $700,000$700,000$700,000Sum: $700,000$700,000$700,000Change: +$700,000Change: +$700,000Change: +$700,000","San Jose Sharks Acquire:2021 3rd round pick (PIT - #90 - Luca Münzenberger) [Conditional]**Conditions: If the Pittsburgh Penguins win the 2020 Stanley Cup, the pick will upgrade to a 2021 2nd round pick. Result: Pittsburgh did not win the Stanley Cup. San Jose will receive the 2021 3rd round pick.Sum: $0$0$0Change: -$700,000Change: -$700,000Change: $0",Pittsburgh Penguins ,Patrick Marleau,San Jose Sharks ,"2021 3rd round pick (PIT - #90 - Luca Münzenberger) [Conditional]**Conditions: If the Pittsburgh Penguins win the 2020 Stanley Cup, the pick will upgrade to a 2021 2nd round pick. Result: Pittsburgh did not win the Stanley Cup. San Jose will receive the 2021 3rd round pick."
25,"Feb. 24, 2020","Colorado Avalanche Acquire:Michael Hutchinson · $0$700,000$700,000 (AHL/JR)Sum: $0$700,000$700,000Change: $0Change: -$50,000Change: +$700,000","Toronto Maple Leafs Acquire:Calle Rosén · $0$750,000$750,000 (AHL/JR)Sum: $0$750,000$750,000Change: $0Change: +$50,000Change: +$750,000",Colorado Avalanche ,Michael Hutchinson,Toronto Maple Leafs ,Calle Rosén
26,"Feb. 24, 2020","Montreal Canadiens Acquire:2021 5th round pick (PHI - #142 - Daniil Sobolev)Sum: $0$0$0Change: -$1,000,000Change: -$1,000,000Change: $0","Philadelphia Flyers Acquire:Nate Thompson · $1,000,000$1,000,000$1,000,000Sum: $1,000,000$1,000,000$1,000,000Change: +$1,000,000Change: +$1,000,000Change: +$1,000,000",Montreal Canadiens ,2021 5th round pick (PHI - #142 - Daniil Sobolev),Philadelphia Flyers ,Nate Thompson
27,"Feb. 24, 2020","Carolina Hurricanes Acquire:Vincent Trocheck · $4,750,000$4,750,000$5,250,000Sum: $4,750,000$4,750,000$5,250,000Change: +$1,325,000Change: -$497,500Change: +$5,250,000","Florida Panthers Acquire:Erik Haula · $2,750,000$2,750,000$2,750,000Lucas Wallmark · $675,000$675,000$700,000Chase Priskie · $0$925,000$70,000 (AHL/JR)Eetu Luostarinen · $0$897,500$70,000 (AHL/JR)Sum: $3,425,000$5,247,500$3,590,000Change: -$1,325,000Change: +$497,500Change: +$3,590,000",Carolina Hurricanes ,Vincent Trocheck,Florida Panthers ,Erik Haula
28,"Feb. 24, 2020","New York Islanders Acquire:Jean-Gabriel Pageau · $3,100,000$3,100,000$3,400,000Sum: $3,100,000$3,100,000$3,400,000Change: +$3,100,000Change: +$3,100,000Change: +$3,400,000","Ottawa Senators Acquire:2020 1st round pick (NYI - #28 - Ridly Greig) [Conditional]*2020 2nd round pick (NYI - #59 - Roni Hirvonen)2022 3rd round pick (NYI - #78 - Quinn Finley) [Conditional]***Conditions: If the Islanders win the draft lottery and select top 3, the pick becomes a 2021 1st round pick Result: Senators will receive Islanders 2020 1st round pick.**Conditions: The pick is transferred if the New York Islanders win the 2020 Stanley Cup Result: Condition not met. No pick is transferred Sum: $0$0$0Change: -$3,100,000Change: -$3,100,000Change: $0",New York Islanders ,Jean-Gabriel Pageau,Ottawa Senators ,"2020 1st round pick (NYI - #28 - Ridly Greig) [Conditional]*2020 2nd round pick (NYI - #59 - Roni Hirvonen)2022 3rd round pick (NYI - #78 - Quinn Finley) [Conditional]***Conditions: If the Islanders win the draft lottery and select top 3, the pick becomes a 2021 1st round pick Result: Senators will receive Islanders 2020 1st round pick.**Conditions: The pick is transferred if the New York Islanders win the 2020 Stanley Cup Result: Condition not met. No pick is transferred "
29,"Feb. 24, 2020","Colorado Avalanche Acquire:Vladislav Namestnikov · $3,250,000$3,250,000$3,250,000Sum: $3,250,000$3,250,000$3,250,000Change: +$3,250,000Change: +$3,250,000Change: +$3,250,000","Ottawa Senators Acquire:2021 4th round pick (COL - #124 - Jack Matier)Sum: $0$0$0Change: -$3,250,000Change: -$3,250,000Change: $0",Colorado Avalanche ,Vladislav Namestnikov,Ottawa Senators ,2021 4th round pick (COL - #124 - Jack Matier)
30,"Feb. 24, 2020","Detroit Red Wings Acquire:Kyle Brodziak · $1,150,000$1,150,000$1,200,0002020 4th round pick (EDM - #107 - Jan Bednar) [Conditional]**Conditions: The 2020 4th round pick upgrades to a 2021 3rd round pick if Edmonton advances to the Conference Final, and Green plays in 50% of the games. Result: Condition not met. Detroit receives the 2020 4th round pick.Sum: $1,150,000$1,150,000$1,200,000Change: -$1,537,500Change: -$1,537,500Change: +$1,200,000","Edmonton Oilers Acquire:Mike Green ($2,687,500 retained - 50%) · $2,687,500$2,687,500$0Sum: $2,687,500$2,687,500$0Change: +$1,537,500Change: +$1,537,500Change: -$257,250,000",Detroit Red Wings ,Kyle Brodziak,Edmonton Oilers ,"Mike Green ($2,687,500 retained - 50%)"
31,"Feb. 23, 2020","Montreal Canadiens Acquire:2020 3rd round pick (WSH - #86 - Dylan Peterson)Sum: $0$0$0Change: -$350,000Change: -$350,000Change: $0","Washington Capitals Acquire:Ilya Kovalchuk ($350,000 retained - 50%) · $350,000$350,000$0Sum: $350,000$350,000$0Change: +$350,000Change: +$350,000Change: -$34,300,000",Montreal Canadiens ,2020 3rd round pick (WSH - #86 - Dylan Peterson),Washington Capitals ,"Ilya Kovalchuk ($350,000 retained - 50%)"
32,"Feb. 22, 2020","Nashville Predators Acquire:Ben Harpur · $0$725,000$800,000 (AHL/JR)Sum: $0$725,000$800,000Change: $0Change: -$25,000Change: +$800,000","Toronto Maple Leafs Acquire:Miikka Salomäki · $0$750,000$750,000 (AHL/JR)Sum: $0$750,000$750,000Change: $0Change: +$25,000Change: +$750,000",Nashville Predators ,Ben Harpur,Toronto Maple Leafs ,Miikka Salomäki
33,"Feb. 21, 2020","Winnipeg Jets Acquire:Cody Eakin · $3,850,000$3,850,000$3,850,000Sum: $3,850,000$3,850,000$3,850,000Change: +$3,850,000Change: +$3,850,000Change: +$3,850,000","Vegas Golden Knights Acquire:2021 4th round pick (WPG - #114 - Redmond Savage) [Conditional]**Conditions: The 2021 4th round pick upgrades to a 2021 3rd round pick if Winnipeg makes the 2019-20 playoffs or re-sign Eakin before July 5th, 2020. Result: Vegas will receive the 2021 4th round pick.Sum: $0$0$0Change: -$3,850,000Change: -$3,850,000Change: $0",Winnipeg Jets ,Cody Eakin,Vegas Golden Knights ,"2021 4th round pick (WPG - #114 - Redmond Savage) [Conditional]**Conditions: The 2021 4th round pick upgrades to a 2021 3rd round pick if Winnipeg makes the 2019-20 playoffs or re-sign Eakin before July 5th, 2020. Result: Vegas will receive the 2021 4th round pick."
34,"Feb. 21, 2020","Anaheim Ducks Acquire:David Backes ($1,500,000 retained - 25%) · $3,425,000$4,500,000$0 (AHL/JR)Axel Andersson · $0$795,000$70,000 (AHL/JR)2020 1st round pick (BOS - #27 - Jacob Perreault)Sum: $3,425,000$5,295,000$0Change: +$825,000Change: +$2,695,000Change: -$95,930,000","Boston Bruins Acquire:Ondrej Kase · $2,600,000$2,600,000$2,600,000Sum: $2,600,000$2,600,000$2,600,000Change: -$825,000Change: -$2,695,000Change: +$2,600,000",Anaheim Ducks ,"David Backes ($1,500,000 retained - 25%)",Boston Bruins ,Ondrej Kase
35,"Feb. 20, 2020","Florida Panthers Acquire:Danick Martel · $0$700,000$200,000 (AHL/JR)Sum: $0$700,000$200,000Change: $0Change: $0Change: +$200,000","Tampa Bay Lightning Acquire:Anthony Greco · $0$700,000$200,000 (AHL/JR)Sum: $0$700,000$200,000Change: $0Change: $0Change: +$200,000",Florida Panthers ,Danick Martel,Tampa Bay Lightning ,Anthony Greco
36,"Feb. 20, 2020","Montreal Canadiens Acquire:Joseph Blandisi · $0$700,000$200,000 (AHL/JR)Jacob Lucchini · $0$792,500$70,000 (AHL/JR)Sum: $0$1,492,500$270,000Change: $0Change: +$92,500Change: +$270,000","Pittsburgh Penguins Acquire:Philip Varone · $0$700,000$450,000 (AHL/JR)Riley Barber · $0$700,000$300,000 (AHL/JR)Sum: $0$1,400,000$750,000Change: $0Change: -$92,500Change: +$750,000",Montreal Canadiens ,Joseph Blandisi,Pittsburgh Penguins ,Philip Varone
37,"Feb. 19, 2020","New York Rangers Acquire:Jean-François Bérubé · $0$700,000$350,000 (AHL/JR)Sum: $0$700,000$350,000Change: $0Change: +$700,000Change: +$350,000","Philadelphia Flyers Acquire:Future ConsiderationsSum: $0$0$0Change: $0Change: -$700,000Change: $0",New York Rangers ,Jean-François Bérubé,Philadelphia Flyers ,Future Considerations
38,"Feb. 19, 2020","Ottawa Senators Acquire:Aaron Luchuk · $0$759,166$70,000 (AHL/JR)2021 6th round pick (TOR - #185 - Vyacheslav Peksa) [Conditional]**Conditions: Sens receive the 2021 6th round pick if Veronneau plays in 10 NHL games for Toronto in 2019-20 or 10 NHL games in 2020-21. Result: Veronneau did not play in 10 games in either season, the pick does not transferSum: $0$759,166$70,000Change: $0Change: -$165,834Change: +$70,000","Toronto Maple Leafs Acquire:Max Veronneau · $0$925,000$70,000 (AHL/JR)Sum: $0$925,000$70,000Change: $0Change: +$165,834Change: +$70,000",Ottawa Senators ,Aaron Luchuk,Toronto Maple Leafs ,Max Veronneau
39,"Feb. 19, 2020","Los Angeles Kings Acquire:2020 2nd round pick (VGK - #60 - Will Cuylle)2021 2nd round pick (STL - #49 - Ben Roger)Sum: $0$0$0Change: -$4,000,000Change: -$4,000,000Change: $0","Vegas Golden Knights Acquire:Alec Martinez · $4,000,000$4,000,000$4,150,000Sum: $4,000,000$4,000,000$4,150,000Change: +$4,000,000Change: +$4,000,000Change: +$4,150,000",Los Angeles Kings ,2020 2nd round pick (VGK - #60 - Will Cuylle)2021 2nd round pick (STL - #49 - Ben Roger),Vegas Golden Knights ,Alec Martinez
40,"Feb. 19, 2020","Florida Panthers Acquire:Mason Marchment · $0$767,500$70,000 (AHL/JR)Sum: $0$767,500$70,000Change: -$750,000Change: +$17,500Change: +$70,000","Toronto Maple Leafs Acquire:Denis Malgin · $750,000$750,000$750,000Sum: $750,000$750,000$750,000Change: +$750,000Change: -$17,500Change: +$750,000",Florida Panthers ,Mason Marchment,Toronto Maple Leafs ,Denis Malgin
